Genre; Année; Titre; Distributeur
Adventure;2011;OKA!;Dada Films
Adventure;2011;Terkel i knibe;
Adventure;2011;Miss Minoes;Music Box Films
Adventure;2011;Zokkomon;Walt Disney
Adventure;2012;The Hobbit: An Unexpected Journey;Warner Bros.
Adventure;2012;The Amazing Spider-Man;Sony Pictures
Adventure;2012;Brave;Walt Disney
Adventure;2012;Madagascar 3: Europe's Most Wanted;Paramount Pictures
Adventure;2012;Dr. Seuss’ The Lorax;Universal
Adventure;2012;Wreck-It Ralph;Walt Disney
Adventure;2012;Ice Age: Continental Drift;20th Century Fox
Adventure;2012;Snow White and the Huntsman;Universal
Adventure;2012;Hotel Transylvania;Sony Pictures
Adventure;2012;Journey 2: The Mysterious Island;Warner Bros.
Adventure;2012;Rise of the Guardians;Paramount Pictures
Adventure;2012;Wrath of the Titans;Warner Bros.
Adventure;2012;John Carter;Walt Disney
Adventure;2012;Mirror Mirror;Relativity
Adventure;2012;ParaNorman;Focus Features
Adventure;2012;Star Wars Ep. I: The Phantom Menace;20th Century Fox
Adventure;2012;Finding Nemo;Walt Disney
Adventure;2012;Alvin and the Chipmunks: Chipwrecked;20th Century Fox
Adventure;2012;Frankenweenie;Walt Disney
Adventure;2012;The Pirates! Band of Misfits;Sony Pictures
Adventure;2012;Monsters, Inc.;Walt Disney
Adventure;2012;The Adventures of Tintin;Paramount Pictures
Adventure;2012;Hugo;Paramount Pictures
Adventure;2012;Arrietty;Walt Disney
Adventure;2012;Cirque du Soleil: Worlds Away;Paramount Pictures
Adventure;2012;The Muppets;Walt Disney
Adventure;2012;Puss in Boots;Paramount Pictures
Adventure;2012;Raiders of the Lost Ark;Paramount Pictures
Adventure;2012;The Oogieloves in the BIG Balloon Adventure;Box Office History for Kenn Viselman Presents
Adventure;2012;Arthur Christmas;Sony Pictures
Adventure;2012;The Polar Express;Warner Bros.
Adventure;2012;Une vie de chat;Mongrel Media
